101 : 000
115 : 0010
104 : 0011
105 : 0100
110 : 0101
107 : 0110000
 73 : 01100010
122 : 0110001100
 63 : 0110001101
 80 : 0110001110
106 : 0110001111
112 : 011001
 65 : 011010000
 54 : 01101000100000
 90 : 0110100010000100
 88 : 0110100010000101
 47 : 011010001000011
 42 : 0110100010001
 49 : 011010001001
 79 : 01101000101
 69 : 0110100011
 84 : 011010010
113 : 0110100110
 82 : 01101001110
 48 : 0110100111100
 55 : 01101001111010
 56 : 01101001111011
 52 : 01101001111100
 53 : 01101001111101
 85 : 0110100111111
118 : 0110101
 44 : 011011
111 : 0111
 97 : 1000
121 : 100100
103 : 100101
100 : 10011
 46 : 1010000
120 : 1010001000
 67 : 1010001001
 95 : 1010001010
 87 : 1010001011
 71 : 10100011000
 70 : 10100011001
 72 : 1010001101
 74 : 101000111000
 58 : 101000111001
 78 : 10100011101
 77 : 1010001111
102 : 101001
108 : 10101
116 : 1011
119 : 110000
 99 : 110001
109 : 110010
 10 : 110011
114 : 11010
117 : 110110
 66 : 1101110000
 33 : 1101110001
 83 : 1101110010
 75 : 1101110011000
 51 : 11011100110010
 62 : 110111001100110000000
 61 : 1101110011001100000010
 30 : 11011100110011000000110
 60 : 110111001100110000001110
  7 : 11011100110011000000111100
  3 : 110111001100110000001111010
123 : 1101110011001100000011110110
124 : 11011100110011000000111101110
125 : 110111001100110000001111011110
126 : 1101110011001100000011110111110
  0 : 11011100110011000000111101111110
  1 : 11011100110011000000111101111111
 29 : 11011100110011000000111110
 14 : 110111001100110000001111110
127 : 11011100110011000000111111100
 15 : 110111001100110000001111111010
 31 : 110111001100110000001111111011
 25 : 1101110011001100000011111111000000
 26 : 1101110011001100000011111111000001
 96 : 11011100110011000000111111110000100
 11 : 110111001100110000001111111100001010
 23 : 110111001100110000001111111100001011
  5 : 11011100110011000000111111110000110
 94 : 110111001100110000001111111100001110
  2 : 110111001100110000001111111100001111
 13 : 11011100110011000000111111110001
 21 : 11011100110011000000111111110010
 19 : 110111001100110000001111111100110
 20 : 110111001100110000001111111100111
 28 : 110111001100110000001111111101
 24 : 11011100110011000000111111111000000
 12 : 11011100110011000000111111111000001
 92 : 11011100110011000000111111111000010
 43 : 110111001100110000001111111110000110
 22 : 110111001100110000001111111110000111
  6 : 110111001100110000001111111110001
 27 : 11011100110011000000111111111001
  9 : 11011100110011000000111111111010
 18 : 110111001100110000001111111110110
  4 : 110111001100110000001111111110111
 17 : 1101110011001100000011111111110
 16 : 11011100110011000000111111111110
  8 : 11011100110011000000111111111111
 38 : 11011100110011000001
 37 : 1101110011001100001
 36 : 110111001100110001
 35 : 1101110011001100100
 64 : 1101110011001100101
 91 : 110111001100110011
 93 : 110111001100110100
 39 : 110111001100110101
 34 : 11011100110011011
 57 : 110111001100111
 40 : 1101110011010
 41 : 1101110011011
 68 : 11011100111
 59 : 110111010
 89 : 110111011000
 50 : 11011101100100
 86 : 11011101100101
 81 : 1101110110011
 76 : 11011101101
 45 : 1101110111
 98 : 1101111
 32 : 111
